url;dominio;nome
http://www.catir.gov.br;catir.gov.br;MINISTERIO DO PLANEJAMENTO ORCAMENTO E GESTAO
http://www.cbee.gov.br;cbee.gov.br;CENTRAIS ELETRICAS DO NORTE DO BRASIL
http://www.cbh.gov.br;cbh.gov.br;AGENCIA NACIONAL DE AGUAS
http://www.cbnb.gov.br;cbnb.gov.br;TERCEIRO COMANDO AEREO REGIONAL
http://www.cbtu-natal.gov.br;cbtu-natal.gov.br;COMPANHIA BRASILEIRA DE TRENS URBANOS-GERENCIA NAT
http://www.cbtu-sturec.gov.br;cbtu-sturec.gov.br;COMPANHIA BRASILEIRA DE TRENS URBANOS
http://www.cbtu.gov.br;cbtu.gov.br;COMPANHIA BRASILEIRA DE TRENS URBANOS
http://www.cbtujp.gov.br;cbtujp.gov.br;COMPANHIA BRASILEIRA DE TRENS URBANOS
http://www.cbtumetrorec.gov.br;cbtumetrorec.gov.br;COMPANHIA BRASILEIRA DE TRENS URBANOS
http://www.ccom.gov.br;ccom.gov.br;AGENCIA BRASILEIRA DE INTELIGENCIA
http://www.ccpe.gov.br;ccpe.gov.br;MINISTERIO DE MINAS E ENERGIA
http://www.cd.gov.br;cd.gov.br;CAMARA DOS DEPUTADOS
http://www.cdb.gov.br;cdb.gov.br;MINISTERIO DAS RELACOES EXTERIORES - DCD
http://www.cdes.gov.br;cdes.gov.br;PRESIDENCIA DA REPUBLICA
http://www.cdp-ahitar.gov.br;cdp-ahitar.gov.br;AHITAR - ADMINISTRACAO DAS HIDROVIAS DO TOCANTINS
http://www.cdv.gov.br;cdv.gov.br;SECRETARIA DE DIREITOS HUMANOS
http://www.ce.gov.br;ce.gov.br;EMPRESA DE TECNOLOGIA DA INFORMACAO DO CEARA-ETICE
http://www.ceagesp.gov.br;ceagesp.gov.br;CEAGESP CIA ENTREPOSTOS ARMAZENS GERAIS S.P.
http://www.ceara.gov.br;ceara.gov.br;SECRETARIA DA ADMINISTRACAO
http://www.ceasa.gov.br;ceasa.gov.br;COMPANHIA NACIONAL DE ABASTECIMENTO
http://www.cef.gov.br;cef.gov.br;CAIXA ECONOMICA FEDERAL
http://www.cefetbg.gov.br;cefetbg.gov.br;CENTRO FEDERAL DE EDUCACAO TECNO BENTO G
http://www.cefetsvs.gov.br;cefetsvs.gov.br;INSTITUTO FEDERAL FARROUPILHA
http://www.celepar.gov.br;celepar.gov.br;COMPANHIA DE INFORMATICA DO PARANA - CELEPAR
http://www.cemaden.gov.br;cemaden.gov.br;INSTITUTO NACIONAL DE PESQUISAS ESPACIAIS
http://www.cenad.gov.br;cenad.gov.br;MINISTERIO DA INTEGRACAO NACIONAL
http://www.cenipa.gov.br;cenipa.gov.br;CENTRO DE INV E PREV DE ACIDENTES AERONAUTICOS
http://www.cenpra.gov.br;cenpra.gov.br;CENTRO DE TECNOLOGIA DA INFORMACAO RENATO ARCHER
http://www.censo.gov.br;censo.gov.br;FUNDACAO INST BRAS DE GEOGRAFIA E ESTATISTICA IBGE
http://www.censo2000.gov.br;censo2000.gov.br;FUNDACAO INST BRAS DE GEOGRAFIA E ESTATISTICA IBGE
http://www.cepec.gov.br;cepec.gov.br;CEPLAC / CEPEC / NUCAD
http://www.cepesc.gov.br;cepesc.gov.br;AGENCIA BRASILEIRA DE INTELIGENCIA
http://www.ceplac.gov.br;ceplac.gov.br;COMISSAO EXECUTIVA DO PLANO DA LAVOURA CACAUEIRA
http://www.ceplacdf.gov.br;ceplacdf.gov.br;COMISSAO EXECUTIVA DO PLANO DA LAVOURA CACAUEIRA
http://www.ceplacpa.gov.br;ceplacpa.gov.br;COMISSAO EXECUTIVA DO PLANTIO DA LAVOURA CACAUEIRA
http://www.cernai.gov.br;cernai.gov.br;DEPARTAMENTO DE CONTROLE DO ESPACO AEREO
http://www.certidaodenascimento.gov.br;certidaodenascimento.gov.br;SECRETARIA DE DIREITOS HUMANOS
http://www.cetem.gov.br;cetem.gov.br;CENTRO DE TECNOLOGIA MINERAL
http://www.cetene.gov.br;cetene.gov.br;INSTITUTO NACIONAL DE TECNOLOGIA - NORDESTE/MCT
http://www.ceturb.gov.br;ceturb.gov.br;COMP DE TRANSP URB DA GRANDE VITORIA
http://www.cfa.gov.br;cfa.gov.br;CFA - CONSELHO FEDERAL DE ADMINISTRACAO
http://www.d.gov.br;d.gov.br;SECRETARIA DE ESTADO DA ADMINISTRACAO E PATRIMONIO
http://www.dac.gov.br;dac.gov.br;DEPARTAMENTO DE AVIACAO CIVIL - DAC
http://www.dados.gov.br;dados.gov.br;MINISTERIO DO PLANEJAMENTO, ORCAMENTO E GESTAO
http://www.dadosabertos.gov.br;dadosabertos.gov.br;MINISTERIO DO PLANEJAMENTO, ORCAMENTO E GESTAO
http://www.dataprev.gov.br;dataprev.gov.br;DATAPREV EMPRESA DE PROC. DE DADOS DA PREVIDENCIA
http://www.datasus.gov.br;datasus.gov.br;MINISTERIO DA SAUDE
http://www.dcea.gov.br;dcea.gov.br;DEPARTAMENTO DE CONTROLE DO ESPACO AEREO
http://www.decea.gov.br;decea.gov.br;DEPARTAMENTO DE CONTROLE DO ESPACO AEREO
http://www.decine.gov.br;decine.gov.br;FUNDACAO NACIONAL DE ARTES
http://www.defencil.gov.br;defencil.gov.br;MINISTERIO DA INTEGRACAO NACIONAL
http://www.defensoriapublica.gov.br;defensoriapublica.gov.br;MINISTERIO DA JUSTICA
http://www.defesa.gov.br;defesa.gov.br;MINISTERIO DA DEFESA
http://www.defesaagropecuaria.gov.br;defesaagropecuaria.gov.br;SECRETARIA DE DEFESA AGROPECUARIA
http://www.defesacivil.gov.br;defesacivil.gov.br;MINISTERIO DA INTEGRACAO NACIONAL
http://www.denatran.gov.br;denatran.gov.br;MINISTERIO DA JUSTICA
http://www.deputado.gov.br;deputado.gov.br;CAMARA DOS DEPUTADOS
http://www.depv.gov.br;depv.gov.br;DEPARTAMENTO DE CONTROLE DO ESPACO AEREO
http://www.desenvolvimento.gov.br;desenvolvimento.gov.br;MINISTERIO DO DESENVOLVIMENTO INDUSTRIA E COMERCIO
http://www.desenvolvimentoagrario.gov.br;desenvolvimentoagrario.gov.br;MINISTERIO DO DESENVOLVIMENTO AGRARIO
http://www.desenvolvimentosocial.gov.br;desenvolvimentosocial.gov.br;DTI/SE/MDS E COMBATE A FOME
http://www.df.gov.br;df.gov.br;GOVERNO DO DISTRITO FEDERAL
http://www.dfa-ba.gov.br;dfa-ba.gov.br; MINISTERIO DA AGRICULTURA E DO ABASTECIMENTO
http://www.dfa-pe.gov.br;dfa-pe.gov.br;MINISTERIO DA AGRICULTURA - DFA - LAPA - RECIFE
http://www.dfasp.gov.br;dfasp.gov.br;DELEGACIA FEDERAL DE AGRICULTURA EM SAO PAULO
http://www.diariodajustica.gov.br;diariodajustica.gov.br;SUPREMO TRIBUNAL FEDERAL
http://www.dinf.gov.br;dinf.gov.br;AGENCIA BRASILEIRA DE INTELIGENCIA
http://www.dinheiroaqui.gov.br;dinheiroaqui.gov.br;CAIXA ECONOMICA FEDERAL
http://www.dinheiroemcaixa.gov.br;dinheiroemcaixa.gov.br;CAIXA ECONOMICA FEDERAL
http://www.dinheiroinstantaneo.gov.br;dinheiroinstantaneo.gov.br;CAIXA ECONOMICA FEDERAL
http://www.dinheirovivo.gov.br;dinheirovivo.gov.br;CAIXA ECONOMICA FEDERAL
